"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2605","Invalid credentials passing through json with james@test.com and abs123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","341","DELETE ---> delete user","chromium","2026-06-29","passed","2026-06-29","CRUD--> operations","api/user.apifixture.spec.ts","",""
"","2957","home page header test","chromium","2026-06-29","passed","2026-06-29","","homepageold.spec.ts","",""
"","2879","@smoke logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","0","verify new user registration for pwbatch and test using json test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","405","POST----> create new user","chromium","2026-06-29","passed","2026-06-29","CRUD--> operations","api/user.apifixture.spec.ts","",""
"","3261","verify the search results count for iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","4875","verify selected product image count","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","0","New user registration for Ally using csv test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","3266","verify the search results count for Search - airtel","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2618","Invalid credentials passing through csv without fixture test with and pw12344","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2075","@smoke title test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2319","@smoke forgot password link exist test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2860","logout link exist test","chromium","2026-06-29","passed","2026-06-29","","homepageold.spec.ts","",""
"","0","add product quantity and add to cart test","chromium","2026-06-29","skipped","2026-06-29","","productpage.spec.ts","",""
"","0","verify new user registration for pwbatch and test using excel test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","2886","Register page title test","chromium","2026-06-29","passed","2026-06-29","","register.spec.ts","",""
"","3267","verify user is able to land on product page for Search - airtel","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2374","Footer links available on product page","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","396","PUT----> update user data","chromium","2026-06-29","passed","2026-06-29","CRUD--> operations","api/user.apifixture.spec.ts","",""
"","3104","user is able to login with environment data test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","1","Get--> get data for given booking","chromium","2026-06-29","skipped","2026-06-29","","api/restful.booker.spec.ts","",""
"","4334","verify user is able to land on product page for MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1","get user data","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","0","title test","chromium","2026-06-29","skipped","2026-06-29","","loginpageold.spec.ts","",""
"","4948","add product and go to cart","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","4268","get product details test for product iMac","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","2785","Invalid credentials passing through excel with abcc@gmail.com and wrong1243","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","4300","verify user is able to land on product page for iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","4942","get product details test for product MacBook Air","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","339","GET ----> get users with generic method","chromium","2026-06-29","passed","2026-06-29","CRUD--> operations","api/user.apifixture.spec.ts","",""
"","1619","GET --> get a user","chromium","2026-06-29","passed","2026-06-29","","api/schemavalidation.spec.ts","",""
"","2655","Invalid credentials passing through json with abc@test.com and wrong123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2748","Invalid credentials passing through csv without fixture test with pwtestbatch@open.com and","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2134","forgot password link exist test","chromium","2026-06-29","passed","2026-06-29","","loginpageold.spec.ts","",""
"","1958","PUT----> upadte a user","chromium","2026-06-29","passed","2026-06-29","","api/user.api.individual.spec.ts","",""
"","3354","verify the search results count for MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","4318","verify user is able to land on product page for MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2939","@smoke home page header test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","190","intercept with mocking","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","2987","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
"","693","POST --> create a user","chromium","2026-06-29","passed","2026-06-29","","api/user.api.individual.spec.ts","",""
"","4754","verify selected product header","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","835","GET ---> get location data","chromium","2026-06-29","passed","2026-06-29","","api/amadeus.oauth2.spec.ts","",""
"","2649","Invalid credentials passing through json with pwbatch@test.com and wrong123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3454","search product","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1074","DELETE----> delete a user","chromium","2026-06-29","passed","2026-06-29","","api/user.api.individual.spec.ts","",""
"","0","New user registration for Giva using csv test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","3405","verify the search results count for MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","0","create new user","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","0","update existing user","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","3551","Invalid credentials passing through csv with fixture test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2812","Invalid credentials passing through excel with and pw123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2987","intercept the calls and log them","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","2967","login test","chromium","2026-06-29","passed","2026-06-29","","loginpageold.spec.ts","",""
"","0","New user registration for Anushka using csv test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","2768","Invalid credentials passing through excel with james@test.com and","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","4368","get product details test for product MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","355","GET ---> get all users","chromium","2026-06-29","passed","2026-06-29","","api/schemavalidation.spec.ts","",""
"","1","Post --> create new booking","chromium","2026-06-29","skipped","2026-06-29","","api/restful.booker.spec.ts","",""
"","0","delete existing user","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","2656","Invalid credentials passing through csv without fixture test with invalid@open.com and wrong123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","0","update existing user using patch","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","3029","Footer links available on product page","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","0","New user registration for sam using csv test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","2256","@smoke application logo test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2987","company logo exist on product page","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
