"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3885","verify selected product header","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","2752","login test","chromium","2026-06-29","passed","2026-06-29","","loginpageold.spec.ts","",""
"","0","delete existing user","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","3869","verify user is able to land on product page for iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","0","verify new user registration for pwbatch and test using excel test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","0","add product quantity and add to cart test","chromium","2026-06-29","skipped","2026-06-29","","productpage.spec.ts","",""
"","2361","Invalid credentials passing through excel with abcc@gmail.com and wrong1243","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","308","DELETE ---> delete user","chromium","2026-06-29","passed","2026-06-29","CRUD--> operations","api/user.apifixture.spec.ts","",""
"","0","New user registration for sam using csv test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","4937","add product and go to cart","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","2691","Footer links available on product page","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","396","POST----> create new user","chromium","2026-06-29","passed","2026-06-29","CRUD--> operations","api/user.apifixture.spec.ts","",""
"","4363","verify selected product image count","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","3583","verify the search results count for MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2473","Invalid credentials passing through csv without fixture test with invalid@open.com and wrong123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3163","verify the search results count for MacBook Air","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","1480","GET --> get a user","chromium","2026-06-29","passed","2026-06-29","","api/schemavalidation.spec.ts","",""
"","2332","Invalid credentials passing through csv without fixture test with and pw12344","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","1","get user data","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","313","GET ---> get all users","chromium","2026-06-29","passed","2026-06-29","","api/schemavalidation.spec.ts","",""
"","4356","get product details test for product iMac","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","2265","Invalid credentials passing through json with pwbatch@test.com and wrong123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","0","update existing user using patch","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","0","verify new user registration for pwbatch and test using json test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","890","DELETE----> delete a user","chromium","2026-06-29","passed","2026-06-29","","api/user.api.individual.spec.ts","",""
"","2411","home page header test","chromium","2026-06-29","passed","2026-06-29","","homepageold.spec.ts","",""
"","1085","GET ---> get location data","chromium","2026-06-29","passed","2026-06-29","","api/amadeus.oauth2.spec.ts","",""
"","1955","@smoke title test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","0","New user registration for Anushka using csv test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","2306","intercept the calls and log them","chromium","2026-06-29","passed","2026-06-29","","api/intercept.spec.ts","",""
"","0","update existing user","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","1908","@smoke application logo test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","0","Get--> get data for given booking","chromium","2026-06-29","skipped","2026-06-29","","api/restful.booker.spec.ts","",""
"","3993","verify user is able to land on product page for MacBook Pro","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2489","Invalid credentials passing through json with james@test.com and abs123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3178","verify the search results count for iMac","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","0","New user registration for Giva using csv test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","2317","Invalid credentials passing through excel with and pw123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2132","Invalid credentials passing through csv without fixture test with pwtestbatch@open.com and","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2375","user is able to login with environment data test","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","3024","search product","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","4227","get product details test for product MacBook Air","chromium","2026-06-29","passed","2026-06-29","","productpage.spec.ts","",""
"","1695","forgot password link exist test","chromium","2026-06-29","passed","2026-06-29","","loginpageold.spec.ts","",""
"","296","GET ----> get users with generic method","chromium","2026-06-29","passed","2026-06-29","CRUD--> operations","api/user.apifixture.spec.ts","",""
"","3009","verify the search results count for Search - airtel","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2372","Invalid credentials passing through json with abc@test.com and wrong123","chromium","2026-06-29","passed","2026-06-29","","loginpage.spec.ts","",""
"","2831","verify user is able to land on product page for Search - airtel","chromium","2026-06-29","passed","2026-06-29","","search.spec.ts","",""
"","2586","Register page title test","chromium","2026-06-29","passed","2026-06-29","","register.spec.ts","",""
"","0","New user registration for Ally using csv test","chromium","2026-06-29","skipped","2026-06-29","","register.spec.ts","",""
"","964","PUT----> upadte a user","chromium","2026-06-29","passed","2026-06-29","","api/user.api.individual.spec.ts","",""
"","0","title test","chromium","2026-06-29","skipped","2026-06-29","","loginpageold.spec.ts","",""
"","406","PUT----> update user data","chromium","2026-06-29","passed","2026-06-29","CRUD--> operations","api/user.apifixture.spec.ts","",""
"","0","create new user","chromium","2026-06-29","skipped","2026-06-29","","api/user.api.spec.ts","",""
"","2555","@smoke home page title test","chromium","2026-06-29","passed","2026-06-29","","homepage.spec.ts","",""
